Notes,Year,Year Code,State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Sex,Sex Code,Deaths,Population,Crude Rate
,2017,2017,Pennsylvania,42,55-64 years,55-64,Male,M,1576,878742,179.3
,2017,2017,Rhode Island,44,35-44 years,35-44,Male,M,,61287,
,2017,2017,Rhode Island,44,45-54 years,45-54,Male,M,42,69318,60.6
,2017,2017,Rhode Island,44,55-64 years,55-64,Male,M,90,71099,126.6
,2017,2017,South Carolina,45,35-44 years,35-44,Male,M,73,294285,24.8
,2017,2017,South Carolina,45,45-54 years,45-54,Male,M,273,313922,87.0
,2017,2017,South Carolina,45,55-64 years,55-64,Male,M,717,312466,229.5
,2017,2017,South Dakota,46,35-44 years,35-44,Male,M,,52216,
,2017,2017,South Dakota,46,45-54 years,45-54,Male,M,35,50490,69.3
,2017,2017,South Dakota,46,55-64 years,55-64,Male,M,104,57999,179.3
,2017,2017,Tennessee,47,35-44 years,35-44,Male,M,127,411218,30.9
,2017,2017,Tennessee,47,45-54 years,45-54,Male,M,470,436460,107.7
,2017,2017,Tennessee,47,55-64 years,55-64,Male,M,1147,417349,274.8
,2017,2017,Texas,48,35-44 years,35-44,Male,M,341,1903696,17.9
,2017,2017,Texas,48,45-54 years,45-54,Male,M,1217,1759459,69.2
,2017,2017,Texas,48,55-64 years,55-64,Male,M,3093,1544989,200.2
,2017,2017,Utah,49,35-44 years,35-44,Male,M,23,215153,10.7
,2017,2017,Utah,49,45-54 years,45-54,Male,M,66,160339,41.2
,2017,2017,Utah,49,55-64 years,55-64,Male,M,197,145379,135.5
,2017,2017,Vermont,50,35-44 years,35-44,Male,M,,34484,
,2017,2017,Vermont,50,45-54 years,45-54,Male,M,25,41017,61.0
,2017,2017,Vermont,50,55-64 years,55-64,Male,M,87,47235,184.2
,2017,2017,Virginia,51,35-44 years,35-44,Male,M,83,543549,15.3
,2017,2017,Virginia,51,45-54 years,45-54,Male,M,345,563478,61.2
,2017,2017,Virginia,51,55-64 years,55-64,Male,M,786,527784,148.9
,2017,2017,Washington,53,35-44 years,35-44,Male,M,51,493981,10.3
,2017,2017,Washington,53,45-54 years,45-54,Male,M,235,474767,49.5
,2017,2017,Washington,53,55-64 years,55-64,Male,M,662,467346,141.7
,2017,2017,West Virginia,54,35-44 years,35-44,Male,M,34,110093,30.9
,2017,2017,West Virginia,54,45-54 years,45-54,Male,M,110,119434,92.1
,2017,2017,West Virginia,54,55-64 years,55-64,Male,M,284,127473,222.8
,2017,2017,Wisconsin,55,35-44 years,35-44,Male,M,60,351227,17.1
,2017,2017,Wisconsin,55,45-54 years,45-54,Male,M,236,380860,62.0
,2017,2017,Wisconsin,55,55-64 years,55-64,Male,M,652,403332,161.7
,2017,2017,Wyoming,56,35-44 years,35-44,Male,M,,37234,
,2017,2017,Wyoming,56,45-54 years,45-54,Male,M,26,34151,76.1
,2017,2017,Wyoming,56,55-64 years,55-64,Male,M,56,40731,137.5
,2018,2018,Alabama,01,35-44 years,35-44,Male,M,68,286938,23.7
,2018,2018,Alabama,01,45-54 years,45-54,Male,M,240,304355,78.9
,2018,2018,Alabama,01,55-64 years,55-64,Male,M,632,311555,202.9
,2018,2018,Alaska,02,35-44 years,35-44,Male,M,,49425,
,2018,2018,Alaska,02,45-54 years,45-54,Male,M,28,45995,60.9
,2018,2018,Alaska,02,55-64 years,55-64,Male,M,89,48627,183.0
,2018,2018,Arizona,04,35-44 years,35-44,Male,M,56,445473,12.6
,2018,2018,Arizona,04,45-54 years,45-54,Male,M,224,421384,53.2
,2018,2018,Arizona,04,55-64 years,55-64,Male,M,669,413184,161.9
,2018,2018,Arkansas,05,35-44 years,35-44,Male,M,65,183346,35.5
,2018,2018,Arkansas,05,45-54 years,45-54,Male,M,219,181380,120.7
,2018,2018,Arkansas,05,55-64 years,55-64,Male,M,562,185005,303.8
,2018,2018,California,06,35-44 years,35-44,Male,M,281,2652887,10.6
,2018,2018,California,06,45-54 years,45-54,Male,M,1258,2525671,49.8
,2018,2018,California,06,55-64 years,55-64,Male,M,3589,2324453,154.4
,2018,2018,Colorado,08,35-44 years,35-44,Male,M,38,401251,9.5
,2018,2018,Colorado,08,45-54 years,45-54,Male,M,107,359325,29.8
,2018,2018,Colorado,08,55-64 years,55-64,Male,M,422,346525,121.8
,2018,2018,Connecticut,09,35-44 years,35-44,Male,M,31,207605,14.9
,2018,2018,Connecticut,09,45-54 years,45-54,Male,M,140,239597,58.4
,2018,2018,Connecticut,09,55-64 years,55-64,Male,M,340,247296,137.5
,2018,2018,Delaware,10,35-44 years,35-44,Male,M,,54473,
,2018,2018,Delaware,10,45-54 years,45-54,Male,M,37,58741,63.0
,2018,2018,Delaware,10,55-64 years,55-64,Male,M,75,63601,117.9
,2018,2018,District of Columbia,11,35-44 years,35-44,Male,M,,52150,
,2018,2018,District of Columbia,11,45-54 years,45-54,Male,M,25,37836,66.1
,2018,2018,District of Columbia,11,55-64 years,55-64,Male,M,103,33464,307.8
,2018,2018,Florida,12,35-44 years,35-44,Male,M,195,1273783,15.3
,2018,2018,Florida,12,45-54 years,45-54,Male,M,838,1346683,62.2
,2018,2018,Florida,12,55-64 years,55-64,Male,M,2456,1350800,181.8
,2018,2018,Georgia,13,35-44 years,35-44,Male,M,118,661938,17.8
,2018,2018,Georgia,13,45-54 years,45-54,Male,M,440,685506,64.2
,2018,2018,Georgia,13,55-64 years,55-64,Male,M,1011,610792,165.5
,2018,2018,Hawaii,15,35-44 years,35-44,Male,M,12,91257,
,2018,2018,Hawaii,15,45-54 years,45-54,Male,M,53,85366,62.1
,2018,2018,Hawaii,15,55-64 years,55-64,Male,M,140,88712,157.8
,2018,2018,Idaho,16,35-44 years,35-44,Male,M,10,111348,
,2018,2018,Idaho,16,45-54 years,45-54,Male,M,59,100396,58.8
,2018,2018,Idaho,16,55-64 years,55-64,Male,M,165,104779,157.5
,2018,2018,Illinois,17,35-44 years,35-44,Male,M,123,819372,15.0
,2018,2018,Illinois,17,45-54 years,45-54,Male,M,452,810261,55.8
,2018,2018,Illinois,17,55-64 years,55-64,Male,M,1241,807085,153.8
,2018,2018,Indiana,18,35-44 years,35-44,Male,M,91,410260,22.2
,2018,2018,Indiana,18,45-54 years,45-54,Male,M,337,417995,80.6
,2018,2018,Indiana,18,55-64 years,55-64,Male,M,866,425033,203.7
,2018,2018,Iowa,19,35-44 years,35-44,Male,M,32,193396,16.5
,2018,2018,Iowa,19,45-54 years,45-54,Male,M,127,186836,68.0
,2018,2018,Iowa,19,55-64 years,55-64,Male,M,439,206316,212.8
,2018,2018,Kansas,20,35-44 years,35-44,Male,M,30,180333,16.6
,2018,2018,Kansas,20,45-54 years,45-54,Male,M,133,168160,79.1
,2018,2018,Kansas,20,55-64 years,55-64,Male,M,333,182060,182.9
,2018,2018,Kentucky,21,35-44 years,35-44,Male,M,84,275188,30.5
,2018,2018,Kentucky,21,45-54 years,45-54,Male,M,326,285313,114.3
,2018,2018,Kentucky,21,55-64 years,55-64,Male,M,755,287608,262.5
,2018,2018,Louisiana,22,35-44 years,35-44,Male,M,65,287906,22.6
,2018,2018,Louisiana,22,45-54 years,45-54,Male,M,251,274113,91.6
,2018,2018,Louisiana,22,55-64 years,55-64,Male,M,693,289506,239.4
,2018,2018,Maine,23,35-44 years,35-44,Male,M,16,75087,
,2018,2018,Maine,23,45-54 years,45-54,Male,M,39,88172,44.2
,2018,2018,Maine,23,55-64 years,55-64,Male,M,118,102387,115.2
,2018,2018,Maryland,24,35-44 years,35-44,Male,M,51,377414,13.5
,2018,2018,Maryland,24,45-54 years,45-54,Male,M,238,393555,60.5
,2018,2018,Maryland,24,55-64 years,55-64,Male,M,595,385450,154.4
,2018,2018,Massachusetts,25,35-44 years,35-44,Male,M,42,413554,10.2
,2018,2018,Massachusetts,25,45-54 years,45-54,Male,M,182,446807,40.7
,2018,2018,Massachusetts,25,55-64 years,55-64,Male,M,553,451692,122.4
,2018,2018,Michigan,26,35-44 years,35-44,Male,M,126,577666,21.8
,2018,2018,Michigan,26,45-54 years,45-54,Male,M,520,637110,81.6
,2018,2018,Michigan,26,55-64 years,55-64,Male,M,1466,681307,215.2
,2018,2018,Minnesota,27,35-44 years,35-44,Male,M,30,360788,8.3
