Notes,Year,Year Code,State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,2002,2002,Alaska,02,55-64 years,55-64,85,52428,162.1
,2002,2002,Arizona,04,55-64 years,55-64,842,496951,169.4
,2002,2002,Arkansas,05,55-64 years,55-64,672,276471,243.1
,2002,2002,California,06,55-64 years,55-64,4586,2909487,157.6
,2002,2002,Colorado,08,55-64 years,55-64,489,387560,126.2
,2002,2002,Connecticut,09,55-64 years,55-64,469,341014,137.5
,2002,2002,Delaware,10,55-64 years,55-64,121,79580,152.0
,2002,2002,District of Columbia,11,55-64 years,55-64,137,53562,255.8
,2002,2002,Florida,12,55-64 years,55-64,2938,1734211,169.4
,2002,2002,Georgia,13,55-64 years,55-64,1357,742675,182.7
,2002,2002,Hawaii,15,55-64 years,55-64,163,120150,135.7
,2002,2002,Idaho,16,55-64 years,55-64,184,120481,152.7
,2002,2002,Illinois,17,55-64 years,55-64,2121,1121108,189.2
,2002,2002,Indiana,18,55-64 years,55-64,1038,574351,180.7
,2002,2002,Iowa,19,55-64 years,55-64,442,275536,160.4
,2002,2002,Kansas,20,55-64 years,55-64,335,239555,139.8
,2002,2002,Kentucky,21,55-64 years,55-64,842,405555,207.6
,2002,2002,Louisiana,22,55-64 years,55-64,940,410797,228.8
,2002,2002,Maine,23,55-64 years,55-64,203,136668,148.5
,2002,2002,Maryland,24,55-64 years,55-64,903,522424,172.8
,2002,2002,Massachusetts,25,55-64 years,55-64,808,602113,134.2
,2002,2002,Michigan,26,55-64 years,55-64,1918,939378,204.2
,2002,2002,Minnesota,27,55-64 years,55-64,444,445928,99.6
,2002,2002,Mississippi,28,55-64 years,55-64,701,265001,264.5
,2002,2002,Missouri,29,55-64 years,55-64,1111,549240,202.3
,2002,2002,Montana,30,55-64 years,55-64,151,93830,160.9
,2002,2002,Nebraska,31,55-64 years,55-64,210,152607,137.6
,2002,2002,Nevada,32,55-64 years,55-64,398,222218,179.1
,2002,2002,New Hampshire,33,55-64 years,55-64,182,123874,146.9
,2002,2002,New Jersey,34,55-64 years,55-64,1238,823026,150.4
,2002,2002,New Mexico,35,55-64 years,55-64,281,175716,159.9
,2002,2002,New York,36,55-64 years,55-64,3421,1821153,187.8
,2002,2002,North Carolina,37,55-64 years,55-64,1504,805084,186.8
,2002,2002,North Dakota,38,55-64 years,55-64,97,57007,170.2
,2002,2002,Ohio,39,55-64 years,55-64,2188,1088895,200.9
,2002,2002,Oklahoma,40,55-64 years,55-64,978,340815,287.0
,2002,2002,Oregon,41,55-64 years,55-64,468,345146,135.6
,2002,2002,Pennsylvania,42,55-64 years,55-64,2142,1219528,175.6
,2002,2002,Rhode Island,44,55-64 years,55-64,206,98687,208.7
,2002,2002,South Carolina,45,55-64 years,55-64,837,414059,202.1
,2002,2002,South Dakota,46,55-64 years,55-64,91,67263,135.3
,2002,2002,Tennessee,47,55-64 years,55-64,1415,583586,242.5
,2002,2002,Texas,48,55-64 years,55-64,3389,1779656,190.4
,2002,2002,Utah,49,55-64 years,55-64,140,159100,88.0
,2002,2002,Vermont,50,55-64 years,55-64,82,63642,128.8
,2002,2002,Virginia,51,55-64 years,55-64,1091,705917,154.6
,2002,2002,Washington,53,55-64 years,55-64,840,564617,148.8
,2002,2002,West Virginia,54,55-64 years,55-64,400,198874,201.1
,2002,2002,Wisconsin,55,55-64 years,55-64,746,499877,149.2
,2002,2002,Wyoming,56,55-64 years,55-64,68,49408,137.6
,2003,2003,Alabama,01,55-64 years,55-64,785,465670,168.6
,2003,2003,Alaska,02,55-64 years,55-64,64,56268,113.7
,2003,2003,Arizona,04,55-64 years,55-64,820,527386,155.5
,2003,2003,Arkansas,05,55-64 years,55-64,632,286595,220.5
,2003,2003,California,06,55-64 years,55-64,4666,3062563,152.4
