fips,state,year,unemployment_rate
34,New Jersey,2006,4.7
35,New Mexico,2006,4.2
36,New York,2006,4.5
37,North Carolina,2006,4.7
38,North Dakota,2006,3.1
39,Ohio,2006,5.4
40,Oklahoma,2006,3.9
41,Oregon,2006,5.4
42,Pennsylvania,2006,4.7
44,Rhode Island,2006,5.2
45,South Carolina,2006,6.3
46,South Dakota,2006,3.0
47,Tennessee,2006,5.2
48,Texas,2006,5.0
49,Utah,2006,2.8
50,Vermont,2006,3.7
51,Virginia,2006,3.1
53,Washington,2006,5.0
54,West Virginia,2006,4.8
55,Wisconsin,2006,4.7
56,Wyoming,2006,3.1
01,Alabama,2007,4.1
02,Alaska,2007,6.2
04,Arizona,2007,3.7
05,Arkansas,2007,5.4
06,California,2007,5.3
08,Colorado,2007,3.7
09,Connecticut,2007,4.5
10,Delaware,2007,3.4
11,District of Columbia,2007,5.5
12,Florida,2007,4.0
13,Georgia,2007,4.6
15,Hawaii,2007,2.8
16,Idaho,2007,3.0
17,Illinois,2007,5.1
18,Indiana,2007,4.6
19,Iowa,2007,3.7
20,Kansas,2007,4.3
21,Kentucky,2007,5.4
22,Louisiana,2007,4.1
23,Maine,2007,4.7
24,Maryland,2007,3.4
25,Massachusetts,2007,4.5
26,Michigan,2007,7.1
27,Minnesota,2007,4.6
28,Mississippi,2007,6.1
29,Missouri,2007,5.1
30,Montana,2007,3.4
31,Nebraska,2007,3.0
32,Nevada,2007,4.8
33,New Hampshire,2007,3.5
34,New Jersey,2007,4.2
35,New Mexico,2007,3.6
36,New York,2007,4.4
37,North Carolina,2007,4.7
38,North Dakota,2007,3.0
39,Ohio,2007,5.6
40,Oklahoma,2007,4.0
41,Oregon,2007,5.2
42,Pennsylvania,2007,4.6
44,Rhode Island,2007,5.1
45,South Carolina,2007,5.6
46,South Dakota,2007,2.8
47,Tennessee,2007,4.6
48,Texas,2007,4.4
49,Utah,2007,2.6
50,Vermont,2007,3.9
51,Virginia,2007,3.1
53,Washington,2007,4.6
54,West Virginia,2007,4.5
55,Wisconsin,2007,4.8
56,Wyoming,2007,2.7
01,Alabama,2008,5.9
02,Alaska,2008,6.5
04,Arizona,2008,5.8
05,Arkansas,2008,5.4
06,California,2008,7.3
08,Colorado,2008,4.8
09,Connecticut,2008,5.6
10,Delaware,2008,4.8
11,District of Columbia,2008,6.5
12,Florida,2008,6.3
13,Georgia,2008,6.4
15,Hawaii,2008,4.1
16,Idaho,2008,5.0
17,Illinois,2008,6.5
18,Indiana,2008,5.9
19,Iowa,2008,4.1
20,Kansas,2008,4.6
21,Kentucky,2008,6.5
22,Louisiana,2008,4.7
23,Maine,2008,5.4
24,Maryland,2008,4.3
25,Massachusetts,2008,5.3
26,Michigan,2008,8.2
27,Minnesota,2008,5.4
28,Mississippi,2008,6.7
29,Missouri,2008,6.1
30,Montana,2008,4.7
31,Nebraska,2008,3.2
32,Nevada,2008,6.9
33,New Hampshire,2008,3.8
34,New Jersey,2008,5.4
35,New Mexico,2008,4.4
36,New York,2008,5.4
37,North Carolina,2008,5.9
38,North Dakota,2008,3.0
39,Ohio,2008,6.6
40,Oklahoma,2008,3.6
41,Oregon,2008,6.3
42,Pennsylvania,2008,5.4
44,Rhode Island,2008,7.6
45,South Carolina,2008,6.9
46,South Dakota,2008,3.1
47,Tennessee,2008,6.5
48,Texas,2008,4.9
49,Utah,2008,3.3
50,Vermont,2008,4.5
51,Virginia,2008,4.1
53,Washington,2008,5.2
54,West Virginia,2008,4.5
55,Wisconsin,2008,4.9
56,Wyoming,2008,3.0
01,Alabama,2009,9.7
02,Alaska,2009,7.8
04,Arizona,2009,9.7
05,Arkansas,2009,7.7
06,California,2009,11.5
08,Colorado,2009,8.0
09,Connecticut,2009,8.3
10,Delaware,2009,8.2
11,District of Columbia,2009,9.6
12,Florida,2009,10.2
13,Georgia,2009,9.9
15,Hawaii,2009,6.5
16,Idaho,2009,9.1
17,Illinois,2009,10.0
18,Indiana,2009,10.2
19,Iowa,2009,6.5
20,Kansas,2009,7.1
21,Kentucky,2009,10.6
22,Louisiana,2009,6.7
23,Maine,2009,8.3
24,Maryland,2009,7.1
25,Massachusetts,2009,8.1
26,Michigan,2009,13.5
27,Minnesota,2009,7.7
28,Mississippi,2009,9.2
29,Missouri,2009,9.1
30,Montana,2009,7.1
31,Nebraska,2009,4.6
32,Nevada,2009,11.1
33,New Hampshire,2009,6.1
34,New Jersey,2009,8.9
35,New Mexico,2009,7.1
36,New York,2009,8.4
37,North Carolina,2009,10.8
38,North Dakota,2009,3.9
39,Ohio,2009,10.2
40,Oklahoma,2009,6.5
41,Oregon,2009,10.6
42,Pennsylvania,2009,8.0
44,Rhode Island,2009,11.2
45,South Carolina,2009,11.0
46,South Dakota,2009,4.6
47,Tennessee,2009,10.4
48,Texas,2009,7.6
49,Utah,2009,7.6
50,Vermont,2009,6.5
51,Virginia,2009,6.8
53,Washington,2009,9.1
54,West Virginia,2009,8.0
55,Wisconsin,2009,8.8
56,Wyoming,2009,6.3
01,Alabama,2010,10.4
02,Alaska,2010,8.0
04,Arizona,2010,10.4
05,Arkansas,2010,7.8
06,California,2010,12.3
08,Colorado,2010,9.2
09,Connecticut,2010,9.5
10,Delaware,2010,8.3
11,District of Columbia,2010,9.8
12,Florida,2010,11.3
13,Georgia,2010,10.4
15,Hawaii,2010,6.7
16,Idaho,2010,9.1
17,Illinois,2010,10.4
18,Indiana,2010,10.0
19,Iowa,2010,6.1
20,Kansas,2010,7.0
21,Kentucky,2010,10.3
22,Louisiana,2010,7.4
23,Maine,2010,8.4
24,Maryland,2010,7.8
25,Massachusetts,2010,8.1
26,Michigan,2010,12.8
27,Minnesota,2010,7.4
28,Mississippi,2010,10.1
29,Missouri,2010,9.4
30,Montana,2010,7.2
31,Nebraska,2010,4.7
32,Nevada,2010,13.3
33,New Hampshire,2010,6.1
34,New Jersey,2010,9.7
35,New Mexico,2010,7.8
36,New York,2010,8.7
37,North Carolina,2010,10.8
38,North Dakota,2010,3.7
39,Ohio,2010,10.0
40,Oklahoma,2010,6.5
41,Oregon,2010,10.6
42,Pennsylvania,2010,8.2
44,Rhode Island,2010,11.6
45,South Carolina,2010,11.1
46,South Dakota,2010,4.9
47,Tennessee,2010,9.8
48,Texas,2010,8.3
49,Utah,2010,8.3
50,Vermont,2010,6.2
