year,state,state_code,ten_year_age,sex_code,deaths,population,crude_rate
2002,Nevada,32,55-64 years,M,304,111082,273.7
2002,New Hampshire,33,55-64 years,M,127,61460,206.6
2002,New Jersey,34,55-64 years,M,873,390822,223.4
2002,New Mexico,35,55-64 years,M,199,84608,235.2
2002,New York,36,55-64 years,M,2341,850193,275.3
2002,North Carolina,37,55-64 years,M,1075,384501,279.6
2002,North Dakota,38,55-64 years,M,69,28418,242.8
2002,Ohio,39,55-64 years,M,1554,521442,298.0
2002,Oklahoma,40,55-64 years,M,679,164052,413.9
2002,Oregon,41,55-64 years,M,352,169625,207.5
2002,Pennsylvania,42,55-64 years,M,1527,584387,261.3
2002,Rhode Island,44,55-64 years,M,150,47327,316.9
2002,South Carolina,45,55-64 years,M,583,197815,294.7
2002,South Dakota,46,55-64 years,M,74,33372,221.7
2002,Tennessee,47,55-64 years,M,985,281358,350.1
2002,Texas,48,55-64 years,M,2381,861684,276.3
2002,Utah,49,55-64 years,M,97,77902,124.5
2002,Vermont,50,55-64 years,M,61,31584,193.1
2002,Virginia,51,55-64 years,M,784,342072,229.2
2002,Washington,53,55-64 years,M,626,280030,223.5
2002,West Virginia,54,55-64 years,M,288,97599,295.1
2002,Wisconsin,55,55-64 years,M,563,245992,228.9
2002,Wyoming,56,55-64 years,M,56,25302,221.3
2003,Alabama,01,55-64 years,M,540,222255,243.0
2003,Alaska,02,55-64 years,M,47,30106,156.1
2003,Arizona,04,55-64 years,M,598,251298,238.0
2003,Arkansas,05,55-64 years,M,437,137956,316.8
2003,California,06,55-64 years,M,3358,1476641,227.4
2003,Colorado,08,55-64 years,M,345,204480,168.7
2003,Connecticut,09,55-64 years,M,339,171089,198.1
2003,Delaware,10,55-64 years,M,90,40029,224.8
2003,District of Columbia,11,55-64 years,M,89,25100,354.6
2003,Florida,12,55-64 years,M,2176,862008,252.4
2003,Georgia,13,55-64 years,M,965,378497,255.0
2003,Hawaii,15,55-64 years,M,108,63073,171.2
2003,Idaho,16,55-64 years,M,148,64226,230.4
2003,Illinois,17,55-64 years,M,1452,558062,260.2
2003,Indiana,18,55-64 years,M,762,289681,263.0
2003,Iowa,19,55-64 years,M,364,140493,259.1
2003,Kansas,20,55-64 years,M,291,122695,237.2
2003,Kentucky,21,55-64 years,M,670,204527,327.6
2003,Louisiana,22,55-64 years,M,690,204877,336.8
2003,Maine,23,55-64 years,M,148,71391,207.3
2003,Maryland,24,55-64 years,M,625,262108,238.5
2003,Massachusetts,25,55-64 years,M,598,300959,198.7
2003,Michigan,26,55-64 years,M,1355,477879,283.5
2003,Minnesota,27,55-64 years,M,357,230401,154.9
2003,Mississippi,28,55-64 years,M,405,131770,307.4
2003,Missouri,29,55-64 years,M,726,274704,264.3
2003,Montana,30,55-64 years,M,110,50308,218.7
2003,Nebraska,31,55-64 years,M,119,78509,151.6
2003,Nevada,32,55-64 years,M,308,118328,260.3
2003,New Hampshire,33,55-64 years,M,141,65456,215.4
2003,New Jersey,34,55-64 years,M,871,406938,214.0
2003,New Mexico,35,55-64 years,M,168,89419,187.9
2003,New York,36,55-64 years,M,2319,883032,262.6
2003,North Carolina,37,55-64 years,M,1102,406936,270.8
2003,North Dakota,38,55-64 years,M,77,29773,258.6
2003,Ohio,39,55-64 years,M,1471,544487,270.2
2003,Oklahoma,40,55-64 years,M,651,170364,382.1
2003,Oregon,41,55-64 years,M,397,180536,219.9
2003,Pennsylvania,42,55-64 years,M,1536,610775,251.5
2003,Rhode Island,44,55-64 years,M,125,49805,251.0
2003,South Carolina,45,55-64 years,M,611,208756,292.7
2003,South Dakota,46,55-64 years,M,92,35215,261.3
2003,Tennessee,47,55-64 years,M,1030,295322,348.8
2003,Texas,48,55-64 years,M,2369,909768,260.4
2003,Utah,49,55-64 years,M,126,82436,152.8
2003,Vermont,50,55-64 years,M,73,33566,217.5
2003,Virginia,51,55-64 years,M,798,360265,221.5
2003,Washington,53,55-64 years,M,637,296536,214.8
2003,West Virginia,54,55-64 years,M,326,102027,319.5
2003,Wisconsin,55,55-64 years,M,558,257751,216.5
2003,Wyoming,56,55-64 years,M,69,26913,256.4
2004,Alabama,01,55-64 years,M,521,232067,224.5
2004,Alaska,02,55-64 years,M,52,32618,159.4
2004,Arizona,04,55-64 years,M,643,266773,241.0
2004,Arkansas,05,55-64 years,M,448,143634,311.9
2004,California,06,55-64 years,M,3237,1544835,209.5
2004,Colorado,08,55-64 years,M,348,216641,160.6
2004,Connecticut,09,55-64 years,M,302,177450,170.2
2004,Delaware,10,55-64 years,M,106,42007,252.3
2004,District of Columbia,11,55-64 years,M,82,25756,318.4
2004,Florida,12,55-64 years,M,2244,908588,247.0
2004,Georgia,13,55-64 years,M,925,397981,232.4
2004,Hawaii,15,55-64 years,M,115,67717,169.8
2004,Idaho,16,55-64 years,M,127,67913,187.0
2004,Illinois,17,55-64 years,M,1419,578674,245.2
2004,Indiana,18,55-64 years,M,773,301536,256.4
2004,Iowa,19,55-64 years,M,362,146260,247.5
2004,Kansas,20,55-64 years,M,262,128190,204.4
2004,Kentucky,21,55-64 years,M,614,213123,288.1
2004,Louisiana,22,55-64 years,M,624,213936,291.7
2004,Maine,23,55-64 years,M,115,75395,152.5
2004,Maryland,24,55-64 years,M,616,273908,224.9
2004,Massachusetts,25,55-64 years,M,575,313962,183.1
2004,Michigan,26,55-64 years,M,1336,498534,268.0
2004,Minnesota,27,55-64 years,M,338,241258,140.1
2004,Mississippi,28,55-64 years,M,483,137214,352.0
2004,Missouri,29,55-64 years,M,756,285301,265.0
2004,Montana,30,55-64 years,M,103,53363,193.0
2004,Nebraska,31,55-64 years,M,122,82523,147.8
2004,Nevada,32,55-64 years,M,289,126302,228.8
2004,New Hampshire,33,55-64 years,M,116,69260,167.5
2004,New Jersey,34,55-64 years,M,835,419614,199.0
2004,New Mexico,35,55-64 years,M,180,94687,190.1
2004,New York,36,55-64 years,M,2200,914401,240.6
2004,North Carolina,37,55-64 years,M,1058,427657,247.4
2004,North Dakota,38,55-64 years,M,66,31275,211.0
2004,Ohio,39,55-64 years,M,1461,567780,257.3
2004,Oklahoma,40,55-64 years,M,650,176739,367.8
2004,Oregon,41,55-64 years,M,313,191240,163.7
2004,Pennsylvania,42,55-64 years,M,1471,636060,231.3
2004,Rhode Island,44,55-64 years,M,123,52136,235.9
2004,South Carolina,45,55-64 years,M,622,219565,283.3
2004,South Dakota,46,55-64 years,M,77,37390,205.9
2004,Tennessee,47,55-64 years,M,943,308185,306.0
2004,Texas,48,55-64 years,M,2417,958360,252.2
2004,Utah,49,55-64 years,M,135,87135,154.9
2004,Vermont,50,55-64 years,M,56,35574,157.4
2004,Virginia,51,55-64 years,M,784,378392,207.2
2004,Washington,53,55-64 years,M,603,314732,191.6
2004,West Virginia,54,55-64 years,M,246,106765,230.4
2004,Wisconsin,55,55-64 years,M,527,270793,194.6
2004,Wyoming,56,55-64 years,M,48,28358,169.3
2005,Alabama,01,55-64 years,M,557,241277,230.9
2005,Alaska,02,55-64 years,M,66,35104,188.0
2005,Arizona,04,55-64 years,M,688,284720,241.6
2005,Arkansas,05,55-64 years,M,444,148637,298.7
2005,California,06,55-64 years,M,3394,1616930,209.9
2005,Colorado,08,55-64 years,M,346,230162,150.3
2005,Connecticut,09,55-64 years,M,284,183726,154.6
2005,Delaware,10,55-64 years,M,116,44059,263.3
2005,District of Columbia,11,55-64 years,M,89,26523,335.6
2005,Florida,12,55-64 years,M,2162,956321,226.1
2005,Georgia,13,55-64 years,M,891,419233,212.5
2005,Hawaii,15,55-64 years,M,115,71880,160.0
2005,Idaho,16,55-64 years,M,124,72124,171.9
2005,Illinois,17,55-64 years,M,1432,602692,237.6
2005,Indiana,18,55-64 years,M,743,314288,236.4
2005,Iowa,19,55-64 years,M,348,152859,227.7
2005,Kansas,20,55-64 years,M,294,134681,218.3
2005,Kentucky,21,55-64 years,M,585,222225,263.2
2005,Louisiana,22,55-64 years,M,687,223867,306.9
2005,Maine,23,55-64 years,M,142,79659,178.3
2005,Maryland,24,55-64 years,M,635,283715,223.8
2005,Massachusetts,25,55-64 years,M,555,326418,170.0
2005,Michigan,26,55-64 years,M,1438,519514,276.8
2005,Minnesota,27,55-64 years,M,377,253056,149.0
2005,Mississippi,28,55-64 years,M,489,142912,342.2
2005,Missouri,29,55-64 years,M,751,296437,253.3
2005,Montana,30,55-64 years,M,102,56270,181.3
2005,Nebraska,31,55-64 years,M,122,86621,140.8
2005,Nevada,32,55-64 years,M,330,133011,248.1
2005,New Hampshire,33,55-64 years,M,139,72775,191.0
2005,New Jersey,34,55-64 years,M,864,433623,199.3
2005,New Mexico,35,55-64 years,M,194,100486,193.1
2005,New York,36,55-64 years,M,2202,946497,232.6
2005,North Carolina,37,55-64 years,M,1078,449250,240.0
2005,North Dakota,38,55-64 years,M,65,33093,196.4
2005,Ohio,39,55-64 years,M,1438,592427,242.7
2005,Oklahoma,40,55-64 years,M,604,183046,330.0
2005,Oregon,41,55-64 years,M,337,202574,166.4
2005,Pennsylvania,42,55-64 years,M,1516,662238,228.9
2005,Rhode Island,44,55-64 years,M,152,54230,280.3
