year,state,state_code,deaths,population,crude_rate,unemployment_rate,expansion_year,treat_post
2007,Wyoming,56,66,33393,197.6,2.7,3000,0
2008,Wyoming,56,62,34906,177.6,3.0,3000,0
2009,Wyoming,56,68,36568,186.0,6.3,3000,0
2010,Wyoming,56,62,37806,164.0,6.9,3000,0
2011,Wyoming,56,63,39568,159.2,6.1,3000,0
2012,Wyoming,56,63,40345,156.2,5.4,3000,0
2013,Wyoming,56,65,40897,158.9,4.7,3000,0
2014,Wyoming,56,82,40998,200.0,4.4,3000,0
2015,Wyoming,56,65,41096,158.2,4.2,3000,0
2016,Wyoming,56,71,41032,173.0,5.3,3000,0
2017,Wyoming,56,56,40731,137.5,4.3,3000,0
2018,Wyoming,56,67,40043,167.3,4.1,3000,0
2019,Wyoming,56,47,39311,119.6,3.7,3000,0
